IE_XML_ID	IE_NAME	IE_ID	IE_ACTIVE	IE_ACTIVE_FROM	IE_ACTIVE_TO	IE_PREVIEW_PICTURE	IE_PREVIEW_TEXT	IE_PREVIEW_TEXT_TYPE	IE_DETAIL_PICTURE	IE_DETAIL_TEXT	IE_DETAIL_TEXT_TYPE	IE_CODE	IE_SORT	IE_TAGS	IP_PROP349	IP_PROP350	IP_PROP351	IP_PROP352	IP_PROP353	IP_PROP354	IP_PROP355	IP_PROP356	IP_PROP357	IP_PROP358	IP_PROP359	IP_PROP360	IP_PROP361	IP_PROP362	IP_PROP363	IP_PROP364	IP_PROP365	IP_PROP366	IP_PROP367	IP_PROP368	IP_PROP369	IP_PROP370	IP_PROP383	IP_PROP374	IP_PROP375	IP_PROP372	IP_PROP384	IP_PROP371	IP_PROP373	IP_PROP386	IP_PROP378	IP_PROP380	IP_PROP379	IP_PROP381	IP_PROP382	IP_PROP376	IP_PROP377	IP_PROP385	IP_PROP387	IP_PROP388	IP_PROP389	IP_PROP390	IP_PROP391	IP_PROP392	IP_PROP393	IP_PROP394	IP_PROP395	IP_PROP396	IP_PROP397	IP_PROP398	IP_PROP399	IP_PROP400	IP_PROP401	IP_PROP402	IP_PROP403	IP_PROP406	IP_PROP404	IP_PROP405	IP_PROP409	IP_PROP407	IP_PROP408	IP_PROP412	IP_PROP410	IP_PROP411	IP_PROP413	IP_PROP414	IP_PROP415	IP_PROP416	IC_GROUP0	IC_GROUP1	IC_GROUP2
5703	Клиническая медицина	5703	Y					text			text		500				3.1		3.1.7 Стоматология	0.0000					10.0000								0.0000			0.0000	не предусмотрено			2024.0000		устный экзамен по научной специальности (стоматология)	/upload/iblock/eae/OP3.1.7.pdf					Врач		"a:3:{s:2:""s1"";s:6:""3 года"";s:2:""s2"";s:0:"""";s:2:""s3"";s:0:"""";}"		0.0000	Русский		0						Special	30.0000							нет		700000								0.0000	0.0000	0.0000		Аспирантура		
5704	Стоматология общей практики	5704	Y				"Высшее образование - специалитет по специальности ""Стоматология"""	text	/upload/iblock/2e6/obshchaya-praktiya.jpeg	"<p>
	 Стоматология общей практики — раздел стоматологии, посвященный изучению заболеваний зубов, челюстей и болезней полости рта, а также разработке методов их лечения и профилактики. Врачи-стоматологи общей практики являются специалистами широкого профиля, способными не только лечить кариес и удалять зубы, но и выполнять более сложные манипуляции терапевтического, хирургического и ортопедического направления.
</p>
<p>
	 Деятельность специалиста общей практики может включать лечение кариеса, пульпита, периодонтита, пломбирование и реставрацию зубов, установку мостов и коронок, осуществление механической и аппаратной чистки зубов, несложное протезирование и т.д. Объём выполняемых работ зависит от квалификации врача, освоения навыков и приобретения опыта по каждой процедуре. При невозможности лично провести какой-либо этап лечения стоматолог общей практики направляет пациента к врачам более узких специальностей.
</p>"	html		500				31.08.72		Стоматология общей практики						8.0000															2024.0000		Тестирование поступающих проводится экзаменационной комиссией ЧОУ ВО «НМСИ ДЕНТМАСТЕР» с использованием тестовых заданий, комплектуемых автоматически путем случайной выборки определенного количества тестовых заданий из Единой базы оценочных средств, формируемой Министерством здравоохранения Российской Федерации.	/upload/iblock/562/w4hguajfx571tpb2vhh9m3slgu1htfl4/_-23_24.pdf					Врач		"a:3:{s:2:""s1"";s:6:""2 года"";s:2:""s2"";s:0:"""";s:2:""s3"";s:0:"""";}"			Русский								test	70.0000							нет		750000	800000											Ординатура		
5704	Стоматология общей практики	5704	Y				"Высшее образование - специалитет по специальности ""Стоматология"""	text	/upload/iblock/2e6/obshchaya-praktiya.jpeg	"<p>
	 Стоматология общей практики — раздел стоматологии, посвященный изучению заболеваний зубов, челюстей и болезней полости рта, а также разработке методов их лечения и профилактики. Врачи-стоматологи общей практики являются специалистами широкого профиля, способными не только лечить кариес и удалять зубы, но и выполнять более сложные манипуляции терапевтического, хирургического и ортопедического направления.
</p>
<p>
	 Деятельность специалиста общей практики может включать лечение кариеса, пульпита, периодонтита, пломбирование и реставрацию зубов, установку мостов и коронок, осуществление механической и аппаратной чистки зубов, несложное протезирование и т.д. Объём выполняемых работ зависит от квалификации врача, освоения навыков и приобретения опыта по каждой процедуре. При невозможности лично провести какой-либо этап лечения стоматолог общей практики направляет пациента к врачам более узких специальностей.
</p>"	html		500				31.08.72		Стоматология общей практики						8.0000															2024.0000		Тестирование поступающих проводится экзаменационной комиссией ЧОУ ВО «НМСИ ДЕНТМАСТЕР» с использованием тестовых заданий, комплектуемых автоматически путем случайной выборки определенного количества тестовых заданий из Единой базы оценочных средств, формируемой Министерством здравоохранения Российской Федерации.	/upload/iblock/10b/r2hbkkdse5i286hk3vw88ndiarmetkwv/_-24_25.pdf					Врач		"a:3:{s:2:""s1"";s:6:""2 года"";s:2:""s2"";s:0:"""";s:2:""s3"";s:0:"""";}"			Русский								test	70.0000							нет		750000	800000											Ординатура		
5705	Стоматология терапевтическая	5705	Y				"Высшее образование - специалитет по специальности ""Стоматология"""	text	/upload/iblock/96b/tera3.jpg	"<p>
	 Терапия – это очень большой раздел стоматологии, который включает в себя все процедуры по лечению зубов. Терапия – это методы лечения зубов без хирургического вмешательства, восстановление здоровья зубов или здорового их состояния. Самая частая процедура в терапии – это лечение кариеса. Кариес возникает у каждого человека в течении жизни, так как наши зубы подвержены кариесу. Кариес – это процесс распада зуба из-за воздействия агрессивной среды в полости рта, все виды кариеса подходят для терапевтического лечения, а также последствия кариеса такие как заболевания десен и мягких тканей в полости рта. <a href=""https://ar-dental.ru/karies-lechenie-i-profilaktika/"">Кариес</a>, пульпит, периодонтит, периостит, киста или гранулема зуба, стоматит, все они являются последствием деятельности бактерий и относятся к терапевтической стоматологии. Этих заболеваний возможно избежать, если правильно соблюдать гигиену полости рта. Все с детства знают, что правильно чистить зубы минимум два раза в день (утром и вечером), необходимо пользоваться средствами для полоскания после приема пищи и зубной нитью – все это профилактика заболеваний зубов.
</p>
<p>
	 К терапевтической стоматологии так же относятся все процедуры по восстановлению зубов после удаления последствий кариеса. Реконструкция зубов – это тоже терапия. Хотя реставрацию зубов и считают эстетической стоматологией, но эстетическая стоматология – это раздел терапии. Восстановление зубов при помощи пломб, коронок, вставок и пр. входит в терапию зубов. Установка разных видов пломб, от простых цементных, до золотых или керамических – все это терапевтическое лечение пациента.
</p>
<p>
	 К <a href=""https://ar-dental.ru/tehnologiya-lecheniya-zubov-lazerom/"">терапии</a>
	также относятся все процедуры по чистке зубов, а также все виды отбеливания зубов. Чистка зубов – это не только эстетическая процедура, но и процедура, которая препятствует возникновению заболеваний десен, в случае если этой процедурой долго пренебрегали и зубной камень запустил процесс воспаления десен. Стоматиты, гиндивиты, пародонтиты – заболевания мягких тканей в полости рта лечат стоматологи-терапевты на начальных стадиях, подбирают медикаменты и назначают процедуры, если это необходимо. Если болезнь уже в запущенном состоянии, то стоматологи-терапевты выдают направления к врачу нужной специализации, чаще всего к хирургам и ортодонтам.
</p>"	html		500				31.08.73		Стоматология терапевтическая						4.0000												бессрочно			2024.0000		Тестирование поступающих проводится экзаменационной комиссией ЧОУ ВО «НМСИ ДЕНТМАСТЕР» с использованием тестовых заданий, комплектуемых автоматически путем случайной выборки определенного количества тестовых заданий из Единой базы оценочных средств, формируемой Министерством здравоохранения Российской Федерации.	/upload/iblock/2b5/Obshchaya-kharakteristika-_-31.08.73.pdf					Врач		"a:3:{s:2:""s1"";s:6:""2 года"";s:2:""s2"";s:0:"""";s:2:""s3"";s:0:"""";}"			Русский								test	70.0000							нет		750000	800000											Ординатура		
5705	Стоматология терапевтическая	5705	Y				"Высшее образование - специалитет по специальности ""Стоматология"""	text	/upload/iblock/96b/tera3.jpg	"<p>
	 Терапия – это очень большой раздел стоматологии, который включает в себя все процедуры по лечению зубов. Терапия – это методы лечения зубов без хирургического вмешательства, восстановление здоровья зубов или здорового их состояния. Самая частая процедура в терапии – это лечение кариеса. Кариес возникает у каждого человека в течении жизни, так как наши зубы подвержены кариесу. Кариес – это процесс распада зуба из-за воздействия агрессивной среды в полости рта, все виды кариеса подходят для терапевтического лечения, а также последствия кариеса такие как заболевания десен и мягких тканей в полости рта. <a href=""https://ar-dental.ru/karies-lechenie-i-profilaktika/"">Кариес</a>, пульпит, периодонтит, периостит, киста или гранулема зуба, стоматит, все они являются последствием деятельности бактерий и относятся к терапевтической стоматологии. Этих заболеваний возможно избежать, если правильно соблюдать гигиену полости рта. Все с детства знают, что правильно чистить зубы минимум два раза в день (утром и вечером), необходимо пользоваться средствами для полоскания после приема пищи и зубной нитью – все это профилактика заболеваний зубов.
</p>
<p>
	 К терапевтической стоматологии так же относятся все процедуры по восстановлению зубов после удаления последствий кариеса. Реконструкция зубов – это тоже терапия. Хотя реставрацию зубов и считают эстетической стоматологией, но эстетическая стоматология – это раздел терапии. Восстановление зубов при помощи пломб, коронок, вставок и пр. входит в терапию зубов. Установка разных видов пломб, от простых цементных, до золотых или керамических – все это терапевтическое лечение пациента.
</p>
<p>
	 К <a href=""https://ar-dental.ru/tehnologiya-lecheniya-zubov-lazerom/"">терапии</a>
	также относятся все процедуры по чистке зубов, а также все виды отбеливания зубов. Чистка зубов – это не только эстетическая процедура, но и процедура, которая препятствует возникновению заболеваний десен, в случае если этой процедурой долго пренебрегали и зубной камень запустил процесс воспаления десен. Стоматиты, гиндивиты, пародонтиты – заболевания мягких тканей в полости рта лечат стоматологи-терапевты на начальных стадиях, подбирают медикаменты и назначают процедуры, если это необходимо. Если болезнь уже в запущенном состоянии, то стоматологи-терапевты выдают направления к врачу нужной специализации, чаще всего к хирургам и ортодонтам.
</p>"	html		500				31.08.73		Стоматология терапевтическая						4.0000												бессрочно			2024.0000		Тестирование поступающих проводится экзаменационной комиссией ЧОУ ВО «НМСИ ДЕНТМАСТЕР» с использованием тестовых заданий, комплектуемых автоматически путем случайной выборки определенного количества тестовых заданий из Единой базы оценочных средств, формируемой Министерством здравоохранения Российской Федерации.	/upload/iblock/0d7/Obshchaya-kharakteristika-_-31.08.73.pdf					Врач		"a:3:{s:2:""s1"";s:6:""2 года"";s:2:""s2"";s:0:"""";s:2:""s3"";s:0:"""";}"			Русский								test	70.0000							нет		750000	800000											Ординатура		
5705	Стоматология терапевтическая	5705	Y				"Высшее образование - специалитет по специальности ""Стоматология"""	text	/upload/iblock/96b/tera3.jpg	"<p>
	 Терапия – это очень большой раздел стоматологии, который включает в себя все процедуры по лечению зубов. Терапия – это методы лечения зубов без хирургического вмешательства, восстановление здоровья зубов или здорового их состояния. Самая частая процедура в терапии – это лечение кариеса. Кариес возникает у каждого человека в течении жизни, так как наши зубы подвержены кариесу. Кариес – это процесс распада зуба из-за воздействия агрессивной среды в полости рта, все виды кариеса подходят для терапевтического лечения, а также последствия кариеса такие как заболевания десен и мягких тканей в полости рта. <a href=""https://ar-dental.ru/karies-lechenie-i-profilaktika/"">Кариес</a>, пульпит, периодонтит, периостит, киста или гранулема зуба, стоматит, все они являются последствием деятельности бактерий и относятся к терапевтической стоматологии. Этих заболеваний возможно избежать, если правильно соблюдать гигиену полости рта. Все с детства знают, что правильно чистить зубы минимум два раза в день (утром и вечером), необходимо пользоваться средствами для полоскания после приема пищи и зубной нитью – все это профилактика заболеваний зубов.
</p>
<p>
	 К терапевтической стоматологии так же относятся все процедуры по восстановлению зубов после удаления последствий кариеса. Реконструкция зубов – это тоже терапия. Хотя реставрацию зубов и считают эстетической стоматологией, но эстетическая стоматология – это раздел терапии. Восстановление зубов при помощи пломб, коронок, вставок и пр. входит в терапию зубов. Установка разных видов пломб, от простых цементных, до золотых или керамических – все это терапевтическое лечение пациента.
</p>
<p>
	 К <a href=""https://ar-dental.ru/tehnologiya-lecheniya-zubov-lazerom/"">терапии</a>
	также относятся все процедуры по чистке зубов, а также все виды отбеливания зубов. Чистка зубов – это не только эстетическая процедура, но и процедура, которая препятствует возникновению заболеваний десен, в случае если этой процедурой долго пренебрегали и зубной камень запустил процесс воспаления десен. Стоматиты, гиндивиты, пародонтиты – заболевания мягких тканей в полости рта лечат стоматологи-терапевты на начальных стадиях, подбирают медикаменты и назначают процедуры, если это необходимо. Если болезнь уже в запущенном состоянии, то стоматологи-терапевты выдают направления к врачу нужной специализации, чаще всего к хирургам и ортодонтам.
</p>"	html		500				31.08.73		Стоматология терапевтическая						4.0000												бессрочно			2024.0000		Тестирование поступающих проводится экзаменационной комиссией ЧОУ ВО «НМСИ ДЕНТМАСТЕР» с использованием тестовых заданий, комплектуемых автоматически путем случайной выборки определенного количества тестовых заданий из Единой базы оценочных средств, формируемой Министерством здравоохранения Российской Федерации.	/upload/iblock/c29/Obshchaya-kharakteristika-_-31.08.73.pdf					Врач		"a:3:{s:2:""s1"";s:6:""2 года"";s:2:""s2"";s:0:"""";s:2:""s3"";s:0:"""";}"			Русский								test	70.0000							нет		750000	800000											Ординатура		
5706	Стоматология хирургическая	5706	Y				"Высшее образование - специалитет по специальности ""Стоматология"""	text	/upload/iblock/538/khirurgiya.jpeg	"<p>
	 Хирургическая стоматология в своей практике включает и удаление зубов. В случаях, когда лечение неэффективно и удаление зуба неизбежно, стоматолог-хирург профессионально, быстро и без болевых ощущений удалит необходимый зуб. Возможно и удаление зубов мудрости, которые неправильно выросли и мешают. Когда удалением зуба занимается профессиональный хирург-стоматолог, то возникновение всевозможных осложнений сводится к минимуму. Также хирурги производят удаление кист, расположенных на верхушке корня зуба.
</p>
<p>
	 Кроме того, каждый специалист хирургической стоматологии, перед тем как удалить зуб, проконсультирует пациента на счет протезирования или даже имплантации на месте отсутствующего зуба.
</p>
<p>
	 Хирургическая стоматология включает:
</p>
<ul>
	<li>Имплантация,</li>
	<li>Зубосохраняющие процедуры,</li>
	<li>Лечение воспалительных процессов (периодонтит, периостит, остеомиелит, гайморит, абсцессы, флегмоны)</li>
	<li>Удаление зубов (частичное или полное удаление)</li>
	<li>Лечение опухолей полости рта</li>
	<li>Подготовка полости рта к последующему протезированию</li>
	<li>Удаление небольших новообразований на лице</li>
	<li>Лечение заболеваний ВНЧС</li>
	<li>Лечение заболеваний тройничного нерва</li>
	<li>Лечение заболеваний слюнных желез</li>
	<li>Первичная хирургическая обработка ран лица, шеи, полости рта</li>
	<li>Реконструктивные и пластические операции на челюстях</li>
	<li>Диагностика специфических заболеваний при проявлении их в полости рта (актиномикоз, туберкулез, сифилис)</li>
	<li>Операции на тканях пародонта</li>
</ul>"	html		500				31.08.74		Стоматология хирургическая						4.0000												бессрочно			2024.0000		Тестирование поступающих проводится экзаменационной комиссией ЧОУ ВО «НМСИ ДЕНТМАСТЕР» с использованием тестовых заданий, комплектуемых автоматически путем случайной выборки определенного количества тестовых заданий из Единой базы оценочных средств, формируемой Министерством здравоохранения Российской Федерации.	/upload/iblock/c31/4uf7lprimlvow4h4932v2bmkogykddrf/_-23_24.pdf					Врач		"a:3:{s:2:""s1"";s:6:""2 года"";s:2:""s2"";s:0:"""";s:2:""s3"";s:0:"""";}"			Русский								test	70.0000							нет		750000	800000											Ординатура		
5706	Стоматология хирургическая	5706	Y				"Высшее образование - специалитет по специальности ""Стоматология"""	text	/upload/iblock/538/khirurgiya.jpeg	"<p>
	 Хирургическая стоматология в своей практике включает и удаление зубов. В случаях, когда лечение неэффективно и удаление зуба неизбежно, стоматолог-хирург профессионально, быстро и без болевых ощущений удалит необходимый зуб. Возможно и удаление зубов мудрости, которые неправильно выросли и мешают. Когда удалением зуба занимается профессиональный хирург-стоматолог, то возникновение всевозможных осложнений сводится к минимуму. Также хирурги производят удаление кист, расположенных на верхушке корня зуба.
</p>
<p>
	 Кроме того, каждый специалист хирургической стоматологии, перед тем как удалить зуб, проконсультирует пациента на счет протезирования или даже имплантации на месте отсутствующего зуба.
</p>
<p>
	 Хирургическая стоматология включает:
</p>
<ul>
	<li>Имплантация,</li>
	<li>Зубосохраняющие процедуры,</li>
	<li>Лечение воспалительных процессов (периодонтит, периостит, остеомиелит, гайморит, абсцессы, флегмоны)</li>
	<li>Удаление зубов (частичное или полное удаление)</li>
	<li>Лечение опухолей полости рта</li>
	<li>Подготовка полости рта к последующему протезированию</li>
	<li>Удаление небольших новообразований на лице</li>
	<li>Лечение заболеваний ВНЧС</li>
	<li>Лечение заболеваний тройничного нерва</li>
	<li>Лечение заболеваний слюнных желез</li>
	<li>Первичная хирургическая обработка ран лица, шеи, полости рта</li>
	<li>Реконструктивные и пластические операции на челюстях</li>
	<li>Диагностика специфических заболеваний при проявлении их в полости рта (актиномикоз, туберкулез, сифилис)</li>
	<li>Операции на тканях пародонта</li>
</ul>"	html		500				31.08.74		Стоматология хирургическая						4.0000												бессрочно			2024.0000		Тестирование поступающих проводится экзаменационной комиссией ЧОУ ВО «НМСИ ДЕНТМАСТЕР» с использованием тестовых заданий, комплектуемых автоматически путем случайной выборки определенного количества тестовых заданий из Единой базы оценочных средств, формируемой Министерством здравоохранения Российской Федерации.	/upload/iblock/d5a/p2ax7131jjapoa1xu2qjdu8ar7zm91sk/_-24_25.pdf					Врач		"a:3:{s:2:""s1"";s:6:""2 года"";s:2:""s2"";s:0:"""";s:2:""s3"";s:0:"""";}"			Русский								test	70.0000							нет		750000	800000											Ординатура		
5706	Стоматология хирургическая	5706	Y				"Высшее образование - специалитет по специальности ""Стоматология"""	text	/upload/iblock/538/khirurgiya.jpeg	"<p>
	 Хирургическая стоматология в своей практике включает и удаление зубов. В случаях, когда лечение неэффективно и удаление зуба неизбежно, стоматолог-хирург профессионально, быстро и без болевых ощущений удалит необходимый зуб. Возможно и удаление зубов мудрости, которые неправильно выросли и мешают. Когда удалением зуба занимается профессиональный хирург-стоматолог, то возникновение всевозможных осложнений сводится к минимуму. Также хирурги производят удаление кист, расположенных на верхушке корня зуба.
</p>
<p>
	 Кроме того, каждый специалист хирургической стоматологии, перед тем как удалить зуб, проконсультирует пациента на счет протезирования или даже имплантации на месте отсутствующего зуба.
</p>
<p>
	 Хирургическая стоматология включает:
</p>
<ul>
	<li>Имплантация,</li>
	<li>Зубосохраняющие процедуры,</li>
	<li>Лечение воспалительных процессов (периодонтит, периостит, остеомиелит, гайморит, абсцессы, флегмоны)</li>
	<li>Удаление зубов (частичное или полное удаление)</li>
	<li>Лечение опухолей полости рта</li>
	<li>Подготовка полости рта к последующему протезированию</li>
	<li>Удаление небольших новообразований на лице</li>
	<li>Лечение заболеваний ВНЧС</li>
	<li>Лечение заболеваний тройничного нерва</li>
	<li>Лечение заболеваний слюнных желез</li>
	<li>Первичная хирургическая обработка ран лица, шеи, полости рта</li>
	<li>Реконструктивные и пластические операции на челюстях</li>
	<li>Диагностика специфических заболеваний при проявлении их в полости рта (актиномикоз, туберкулез, сифилис)</li>
	<li>Операции на тканях пародонта</li>
</ul>"	html		500				31.08.74		Стоматология хирургическая						4.0000												бессрочно			2024.0000		Тестирование поступающих проводится экзаменационной комиссией ЧОУ ВО «НМСИ ДЕНТМАСТЕР» с использованием тестовых заданий, комплектуемых автоматически путем случайной выборки определенного количества тестовых заданий из Единой базы оценочных средств, формируемой Министерством здравоохранения Российской Федерации.	/upload/iblock/d49/c81k84p59mmg5ahllvegw6yw1ik1bvlz/_-24_25.pdf					Врач		"a:3:{s:2:""s1"";s:6:""2 года"";s:2:""s2"";s:0:"""";s:2:""s3"";s:0:"""";}"			Русский								test	70.0000							нет		750000	800000											Ординатура		
5769	11111	5769	N					text			text		500				11111		11111																		1111													"a:3:{s:2:""s1"";s:2:""11"";s:2:""s2"";s:0:"""";s:2:""s3"";s:0:"""";}"																			нет														Аспирантура		
